id,museum_sammlungsbereich,standort,exakter_standort,inventarnummer,alte_inventarnummern,objektbezeichnung_gegenstand,titel,kategorie,objektgattung,objekttyp,anzahl_teile,erfassungsstatus,darstellung_ikonographie,personen_gnd,personen_nicht_normiert,herstellungsort,fundort,dargestellter_genannter_ort,gebrauchsort,ort_der_geistigen_schoepfung,druckort,entstehungsort,publikationsort_verlagsort,technik,material,farbe,hoehe,breite,tiefe,durchmesser,laenge,gewicht,massstab,beschriftung_aufdruck,datumsart,beginn,ende,herstellungszweck,verwendungszweck,land,ethnie,stil,sachgruppe,schlagwoerter,beschreibung,literatur_gvk,literatur_freitext,weblinks,bemerkungen,zustand,fundstelleid,massnahmeid,fundid,fundstellennummer,fundnummer,fundumstaende,befund,schnitt,lagebeschreibung,fund_bemerkung,bezugssystem,longitude,latitude,fund_3d_koordinaten,objektgeschichte,hornbostelsachs
365345,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 02,K 001,,Halbrelief,Fruchtbarkeitsgöttin,Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Iran,,,,,,,,,Gips,Sandiges Braun,20.5cm,16.8cm,5cm,,,790g,,,Herstellungsdatum,1,,,,,,,,,"Es handelt sich um eine Nachbildung. Standort des Originals: Louvre, Paris, Inv.-Nr. Sb 3800/433. Der nackte Oberkörper einer Frau ist im Zentrum einer quadratischen Platte mit dreieckigem Aufsatz reliefartig herausgearbeitet. Die Frau hält mit ihrer rechten Hand die linke Brust, offensichtlich über ein von der linken Hand gehaltenes Gefäß. Die figürliche Darstellung wird umrahmt von einem kreisförmigen Ring mit erhabenen ausgeformtem Strukturmuster. Entlang des Plattenrandes ist ebenfalls ein Strukturmuster reliefartig herausgearbeitet. Die dargestellte Göttin aus Susa, eine nackte Göttin, auch als ""fecunditas"" bezeichnet, preßt mit einer Hand die Brust und fängt mit der anderen Hand die Milch in einer Schale auf. Das Thema ist nicht griechisch. Man hat versucht, es mit orientalischen oder ägyptischen Darstellungen in Verbindung zu bringen. Tatsächlich finden wir dasselbe Thema noch im Iran der Partherzeit wieder.",,"Beschrieben in: Ghirshman, Roman (1964) Iran. München, S. 342.; Literatur in Zusammenhang: Ghirshman, Roman (1964) Iran. München, Abb. 433.",,Kopf ist geklebt (Stand: 10.08.2015),,,,,,,,,,,,,,,,,
365346,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 09 > Karton 09b,K 002,,"Münze, Medaille, Zahlungsmittel*",Geburtsszene (Goldstaubgewicht),Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Ghana,,,,,,,,,Messing,Dunke Goldrute; Schwarz,6.7cm,14.3cm,5cm,,,280g,,,Herstellungsdatum,1900,,,,Afrika,Ashanti,,,,"Die Gebärende sitzt nach hinten gelehnt und mit den Ellebogen abgestützt auf einer Liege, ihre Beine sind gespreizt, die Oberschenkel hängen rechts und links der Liege herunter. Das Kind liegt schon vor der Mutter, und zwar mit nach oben schauendem Gesicht (dorso-posterior) und seitlich angelegten Armen. Gegenüber der Mutter sitzt eine Helferin auf der Liege und hält den Kopf des Kindes. Eine weitere Helferin steht am Fußende der Liege und zieht an den Schultern der anderen Helferin. Das Haar der Helferinnen ist in zwei bzw. drei von vorn nach hinten verlaufenden Wülsten zusammen gefasst. Die Gebärende hat ihr Haar in drei konischen Knoten geformt. K 2, K97, K 1298, K 451 ""Durch die Nachfrage auf dem internationalen Kunstmarktist der Ausverkauf der Goldgewichte so weit fortgeschritten, daß seit längerer Zeit von den Goldschmieden in der wiederbelebten alten Technik der verlorenen Form Kleinplastiken aus Metall gegossen werden, die vielfach gute Kopien von Goldgewichten sind, aber keinen Gewichtswert haben. Diese neuen Güsse sind häufig größer als die Goldgewichte und beschränken sich auf figürliche Darstellungen, die vorteilhaft verkauft werden können, während durch das geringe Interesse der Käufer an geometrischen Formen echte Goldgewichte dieser Art für so geringe Beträge gehandelt werden, daß eine Nachahmung nicht lohnt."" (Menzel (1968), S.90.)",,"Beschrieben in: Menzel, Brigitte (1968) Goldgewichte aus Ghana. Veröffentlichungen des Museums für Völkerkunde Berlin, N.F. 12, S. 11, 20ff, 39ff, Abb. 828-913, S. 32f. (W.Af.583) Lindig, Wolfgang (1981) Völker der vierten Welt. München, Paderborn, Wien, Zürich, S.35, Abb. 17f (Farbfotos). (Lex. 171) Kecskési, Maria (o.J.) Kunst aus dem Alten Afrika. Sammlungen aus dem Staatlichen Museum für Völkerkunde, München, ab S. 91, Abb. 102-107. (FÜ München 20) Dittmer, Kurz (1966) Kunst und Handwerk in Westafrika. Hamburgisches Museum für Völkerkunde und Vorgeschichte, Hamburg, S. 18f (Gelbgußverfahren). (W.Af.897) Hirschberg, Walter (1974) Die Kulturen Afrikas. Frankfurt, S. 305, Abb Wachsausschmelzverfahren, S.307. (Af.Ag.546) Museum für Völkerkunde Frankfurt (1975) Kunst? Handwerk in Afrika im wandel. Frankfurt, ab S. 53, Abb. 26. (FÜ Frankfurt 14) Asihene, Emmanuel V. (1978) Understanding the traditional Art of Ghana. London, S. 71f, Fig. 23-25. (W.Af.876) Sydow, Eckart v. (1930) Handbuchder afrikanischen Plastik. 2 Bände. Berlin, Bd. 2, S. 123. (Af.Ag.86a,b) Kunsthalle Rostock (1975) Afrikanische Plastik. Rostock, S. 29. Lenzinger, Elsy (1959) Afrika. Reihe Kunst der Welt. Baden-Baden, S.98. (VK.Ku 96 f) Staatliches Museum für Völkerkunde Leipzig (1964) Ornament und Plastik fremder Völker. Zürich, S. 123, Abb. Tafel 9. (VK.Ku108) Lommel, Andreas (Hrsg.) (1976) Afrikanische Kunst. Staatliches Museum für Völkerkunde München, München, S. 199. (FÜ München 10) Zwernemann, Jürgen; Lohse, Wulf (1985) Ahnen-Geister-Götter. Hamburgisches Museum für Völkerkunde, S. 23, 109, Abb. 16 (Photo), 101. (Af.Ag.667) Himmelheber, Hans (1960) Negerkunst und Negerkünstler. Braunschweig, S. 236, Photo S. 41 Metallgußverfahren (Baule). (Af.Ag.252) Das Kunstwerk, Sonderausgabe der Zeitschrift (o.J.) Afrikanische Plastik. Baden-Baden, S.26, Bilder 51-59. (Af.Ag.138) Jefferson, E. Louise (1974) The decorative Arts of Africa. London, S. 132, Abb. 165. (Af.Ag.590) Segy, Ladislav (1958) African Sculpture. New York, Abb. 45f. (Af.Ag.217) Museum für Völkerkunde Leipzig (1963) Kunst aus Afrika. Leipzig, Tafel 2. (FÜ Leipzig 6); Literatur in Zusammenhang: Menzel, Brigitte (1968) Goldgewichte aus Ghana. Veröffentlichungen des Museums für Völkerkunde Berlin, N.F. 12, S. 11, 20ff, 39ff, Abb. 828-913, S. 32f. (W.Af.583) Lindig, Wolfgang (1981) Völker der vierten Welt. München, Paderborn, Wien, Zürich, S.35, Abb. 17f (Farbfotos). (Lex. 171) Kecskési, Maria (o.J.) Kunst aus dem Alten Afrika. Sammlungen aus dem Staatlichen Museum für Völkerkunde, München, ab S. 91, Abb. 102-107. (FÜ München 20) Dittmer, Kurz (1966) Kunst und Handwerk in Westafrika. Hamburgisches Museum für Völkerkunde und Vorgeschichte, Hamburg, S. 18f (Gelbgußverfahren). (W.Af.897) Hirschberg, Walter (1974) Die Kulturen Afrikas. Frankfurt, S. 305, Abb Wachsausschmelzverfahren, S.307. (Af.Ag.546) Museum für Völkerkunde Frankfurt (1975) Kunst? Handwerk in Afrika im wandel. Frankfurt, ab S. 53, Abb. 26. (FÜ Frankfurt 14) Asihene, Emmanuel V. (1978) Understanding the traditional Art of Ghana. London, S. 71f, Fig. 23-25. (W.Af.876) Sydow, Eckart v. (1930) Handbuchder afrikanischen Plastik. 2 Bände. Berlin, Bd. 2, S. 123. (Af.Ag.86a,b) Kunsthalle Rostock (1975) Afrikanische Plastik. Rostock, S. 29. Lenzinger, Elsy (1959) Afrika. Reihe Kunst der Welt. Baden-Baden, S.98. (VK.Ku 96 f) Staatliches Museum für Völkerkunde Leipzig (1964) Ornament und Plastik fremder Völker. Zürich, S. 123, Abb. Tafel 9. (VK.Ku108) Lommel, Andreas (Hrsg.) (1976) Afrikanische Kunst. Staatliches Museum für Völkerkunde München, München, S. 199. (FÜ München 10) Zwernemann, Jürgen; Lohse, Wulf (1985) Ahnen-Geister-Götter. Hamburgisches Museum für Völkerkunde, S. 23, 109, Abb. 16 (Photo), 101. (Af.Ag.667) Himmelheber, Hans (1960) Negerkunst und Negerkünstler. Braunschweig, S. 236, Photo S. 41 Metallgußverfahren (Baule). (Af.Ag.252) Das Kunstwerk, Sonderausgabe der Zeitschrift (o.J.) Afrikanische Plastik. Baden-Baden, S.26, Bilder 51-59. (Af.Ag.138) Jefferson, E. Louise (1974) The decorative Arts of Africa. London, S. 132, Abb. 165. (Af.Ag.590) Segy, Ladislav (1958) African Sculpture. New York, Abb. 45f. (Af.Ag.217) Museum für Völkerkunde Leipzig (1963) Kunst aus Afrika. Leipzig, Tafel 2. (FÜ Leipzig 6)",,,,,,,,,,,,,,,,,,,
365347,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 14,K 003,,Votivgabe,Schwangerer Leib,Skulptur,Ritueller Gegenstand,3D-Objekt,,veröffentlichen,,,,Deutschland,,,,,,,,gestanzt,Stahlblech,Sehr dunkles Grau,12.3cm,10.2cm,1.1cm,,,26g,,,Herstellungsdatum,1900,2000,,Votiv-Gabe,,,,,,"Das Blech ist in einem flachen, rechteckigen Relief mit abgeschrägten Ecken gestanzt, das einen menschlichen Rumpf mit vorgewölbtem Bauch zeigt. Stark betont sind die Rippen (aneinandergereihte Verdickungen) und der Solar Plexus (Vertiefung). Der Bauchnabel ist durch eine Vertiefung markiert. In der linken und rechten unteren Ecke des Reliefs sind die Buchstaben ""VF"" bzw. ""GA"" ausgeformt. Links oben befindet sich eine kleine dreistellige Nummer, die mit ""00"" endet. Unter dieser Nummer und unterhalb des Bauches ist jeweils ein Loch in das Relief geschlagen. Der Rand des Reliefs ist als Wulst mit kleinen, aneinandergereihten Verdickungen ausgebildet. An der oberen Kante ist ein rechteckiger Aufhänger mit Verschnörkelungen ausgeformt. Das Blech scheint durch sogenanntes ""Anlassen"" bewußt verfärbt worden zu sein. Die Rückseite ist hauptsächlich gelblich-weiß mit violetten, grauen und grünen Tönungen. Die Vorderseite ist silbrig-weiß bis grau.",,,,"Original? Erwerb und Jahr: Kunsthandel, Dr. Krapf, Engadiner Str. 16, München, 1975",,,,,,,,,,,,,,,,,
365348,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 14,K 004,,Votivgabe,Corpus mit Eingeweiden,Skulptur,Ritueller Gegenstand,3D-Objekt,,veröffentlichen,,,,,,,,,,,,gestanzt,Stahlblech,,16.7cm,12cm,0.8cm,,,26g,,,Entstehungsdatum,20,,,Votiv-Gabe,,,,,,"Das Blech ist zu einem flachen Relief gestanzt, das Rumpf und seitlich angelegte Arme eines Menschen zeigt. Der Rumpf ist offen, sodass die Eingeweide, die größeren Blutgefäße und der Kehlkopf sichtbar sind. Am oberen Ende ist ein Aufhänger mit Verschnörkelungen ausgeformt. Der Rand des Reliefs ist als Schnurmuster ausgebildet. Das Blech scheint durch sogenanntes ""Anlassen"" bewußt verfärbt worden zu sein. Die Rückseite ist weiß bis gelb, die Vorderseite hauptsächlich grau mit violetten, gelben und grünen Tönungen. In den Vertiefungen sitzt ein grau-weißer Belag.",,,,"Votiv-Gabe Original? Erwerb und Jahr: Kunsthandel , Dr. Krapf, Engadiner Str. 16, München, 1975",,,,,,,,,,,,,,,,,
365349,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 06,K 005,,Skulptur,Muttergottheit,Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Deutschland,,,,,,,,,Gips,,19.8cm,5.3cm,3.6cm,,,205g,,,Herstellungsdatum,101,200,,,,,,,,"Es handelt sich um eine Nachbildung. Standort des Originals: Landesmuseum Trier. Material des Originals: gebrannter Ton?. Auf einem quadratischen Sockel steht eine naturalistisch gearbeitete Frauenfigur, die mit einer flachen Haube bedeckten Kopf leicht nach vorn beugt und den Blick nach unten richtet. Die das Gesicht umrahmende Frisur ist durch Ritzlinien dargestellt. Augenlider und Nase sind ausgearbeitet, der Mund kaum noch zu erkennen. Die Figur trägt ein bis zu den Füßen reichendes, faltiges Gewand; Fußspitzen sind angedeutet. In ihren Armen liegt ein Säugling, der ebenfalls in ein faltiges Tuch gehüllt ist. Dargestellt sind unbekleidete, unproportional lange Arme und das Köpfchen; Gesichtszüge sind nicht zu erkennen. Die Rückseite der Figur ist flach, die Falten des Gewandes hier nur am Oberkörper durch flache Eintiefungen markiert.",,,,"April 2010 Reparatur, Herr Sauerland: Kopf geklebt. Erwerb und Jahr: Landesmuseum Trier, 1987",,,,,,,,,,,,,,,,,
365350,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 12 > Karton 12b,K 006,,Skulptur,Kult- und Fruchtbarkeitsfigur - Frauenidol,Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Venezuela,,,,,,,,,Keramik,,20.5cm,9.3cm,8.1cm,,,337g,,,Herstellungsdatum,1900,,,,,,,,,"Es handelt sich um eine Nachbildung. Standort des Originals: Sammlung La Salle, Venezuela, i-Barquisimiento. Im Inneren der hohlen Figur befindet sich ein Klapperstein. Am überproportional großen Kopf sind aufgeblasene Wangen, ein kleiner, wulstiger Mund, eine kurze, breite Nase und sehr große, kaffeebohnenartige Augen ausgeformt. Auf den eingetieften Scheitel ist eine Verdickung gesetzt. Die Oberarme sind seitlich angelegt, die Hände halten über den quergespaltenen Brüsten einen ziehharmonikaförmigen Gegenstand. Der Bauch mit dem durch einen Ringwulst markierten Nabel ist vorgewölbt. Zwischen den kurzen, knolligen Schenkeln ist das Schamdreieck mit drei Einbohrungen plastisch dargestellt. Korrespondenz Kleiss vom 2.11.1975: ""Es ist eine Nachbildung einer Figur, die sich im Besitz der Sammlung 'La Salle' in Barquisimiento befindet und wahrscheinlich dem Kulturkreis der Aruacos (oder Arawacos) entspricht. Die ganze Form lässt darauf schließen, daß Zusammenhänge mit Fruchtbarkeits- bzw. Geburtsriten bestanden haben, obwolhl wir über den Zweck und Gebrauch dieser Figuren nirgends genaue Angaben zu finden. Die Nachbildung entspricht in ihrer Größe dem Original und auch die Farbe ist recht gut getroffen (obwohl es ein anderes Material als der einfache gebrannte Ton des Originals ist).""",,"Beschrieben in: Kleiss, E. (1964) Historia de la Embriologia y Teratologia. Merida, Univ.-Verlag. Wagner, E. (1971) Alte Zeremonialgeräte aus den venezuelanischen Anden. Antike Welt, Heft 4, S. 19-27.",,"Erwerb und Jahr: Prof. Dr. Ekkehard Kleiss, Merida, Venezuela 1975",,,,,,,,,,,,,,,,,
365351,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 07,K 007,,Skulptur,Schutzgott Bes,Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Ägypten,,,,,,,,,Modelliermasse,Türkis,15.8cm,8cm,2.2cm,,,420g,,,Herstellungsdatum,-2000,,,,,,,,,"Es handelt sich um eine Nachbildung. Standort des Originals: Staatl. Museum Preuss. Kulturbesitz, Ägyptisches Museum Berlin, In.-Nr. 22200- Spätzeit. Der auf einer flachen, rechteckigen Unterlage stehende Bes hat einen globigen Kopf und ein breites Gesicht mit grotesken Zügen. Der Haaransatz reicht bis in die untere Stirnpartie, unter den geschwungenen Augenbrauen und den dicht gefalteten Augenliedern sind mandelförmige Augen ausgeformt. Die faltige Sattelnase läuft in breiten Nasenflügeln aus. Die rotglasierte Zunge ist herausgestreckt. Die Wangen sind mit einem kräftigen Bart bedeckt, dessen Zotteln in kleinen Spiralen enden. Die abstehenden Ohren sind wie volutenartige Haarlocken stilisiert. Die kurzen, muskulösen Arme sind seitlich an die vortretrende Brust und den gewölbten Bauch mit eingetieftem Nabel angelegt. Die Hände liegen auf den dicken Oberschenkeln, zwischen denen das männliche Geschlechtsteil modelliert ist. Beine und Füße sind mißgebildet. (Achondroplasia) Auf der Brust des Bes erscheinen Kopf und Vorderbeine eines Löwenfells, der Schanz des Felles hängt vom Rücken des Gottes zwischen seinen Beinen herunter. Um seine Hüften ist ein Strick gelegt. Die Rückseite der Figur ist flach und dunkelblau glasiert. Die Körpervorderseite ist bis auf die Zunge hellblau, in den Vertiefungen dunkelblau glasiert. Materialmappe Ägypten (?): ""Neben der Vergeistigung des Mutterbegriffs im Bild der Gottesmutter, die in der Muttergottes fortlebte, waren Zauber und Magie aus der Umgebung von Mutter und Kind nicht wegzudenken. Ein Dämon, bereits um 2000 vor Chr. auf den Stabamuletten des Mittleren Reiches, seit 18. Dynastie, um 1380 v. Chr., einer der beliebtesten Schutzgeister des ägyptischen Hauses, schützt vor allem das Reich der Frau, Empfängnis und Schwangerschaft, Geburt und Kindbett. Mögliche Herkunft des Zwerggottes aus dem ostafrikanischen Raum. Sein abstoßendes Äußeres sollte die bösen Mächte abschrecken.""",,Beschrieben in: vgl. Materialmappe,,"Erwerb und Jahr: Bücher Büchner, Nr. 1/111",,,,,,,,,,,,,,,,,
365352,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 14,K 008,,"Münze, Medaille, Zahlungsmittel*",Gedenkmünze Geburt des Erzherzogs Leopold,"Münzen, Medaillen, Geldscheine",Münze/Medaille,3D-Objekt,,veröffentlichen,,,,Österreich,,,,,,,,,Metall,,4.3cm,,0.3cm,,,30g,,,Herstellungsdatum,1700,,Gedenkmünze,,,,,,,"eine Seite: Frau mit Wickelkind im Arm, im Himmelbett liegend. linker Rand: ""Faecunditate"" rechter Rand: ""Augustae"" unten: ""Imperii Securitas Austriae Gloria, Temporum Felicitas Propagata"" andere Seite: Engel mit Säugling auf den Unterarmen, vor einer Wiege knieend. in Bogen darüber geschrieben: ""In Prolem Transcurrat Gloria Patrum"" unten: ""Leopoldo M Imp Nepos Icsepho R Reg Filius Natus 29 Octob 1700"" auf dem unteren Rand: ""Servate Domum, Servate Nepotem, Patriasque Penates! Di Patrii!"" Korrespondenz mit Herrn Maly, Wey antiquitäten + numismatik, Luzern, vom 29.11.1971: ""Medaillen auf Geburten als bedeutsame dynastische Ereignisse kamen im 17. Jahrhundert auf. In Frankreich erstarrten die Darstellungen früh in stereotypen Allegorien. Die Ihnen zugestellte Medaille zeichnet sich durch die realistische Representatiomn der Kaiserin im Wochenbett aus. Gefeiert wird durch die Umschrift Foecundites Augustae (sic!) in erster Linie die Fruchtbarkeit der Kaiserin. Der Erzherzog Leopold hat nie grössere Bedeutung erlangt.""",,,,"Original Erwerb und Jahr: Wey antiquitäten + numismatik für 225 D-Mark, Luzern, 22.11.1971. Sammler: G. Hautsch ?",,,,,,,,,,,,,,,,,
365353,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin,K 009,,Skulptur,Mutter-Kind-Plastik,Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Benin,,,,,,,,,Messing,,26.2cm,11.1cm,10.2cm,,,2185g,,,,,,,,,,,,,"Eine unbekleidete Frau sitzt im ""Schneidersitz"" mit einem Kind auf ihrem linken Knie. Ihr Bauch ist leicht vorgewölbt. Die Gesichtszüge der Frau mit den elliptischen, vorstehenden Augen, der flachen, langen, weitflügeligen Nase und dem großen, geöffneten Mund sind grotesk überzeichnet. Das Haar ist in drei Wülsten, die von vorn nach hinten führten, zusammengefaßt. Die Frau umfaßt mit der rechten Hand ihre Brust, die linke Hand stützt den Kopf des Kindes. An beiden Handgelenken sind jeweils sieben Armreifen herausmodelliert. Auf den Haaren, am Hals, entlang des Rückens und der Taille sowie auf dem Bauch sind kleine, elliptische Verdickungen ausgeformt. Der Bauchnabel beider Figuren ist sehr groß und steht kugelig vor. Das Kind hat seine Beine übereinandergeschlagen und hält die Arme ausgebreitet.",,,,"Erwerb und Jahr: Kunsthandel, Fa. Heubel, Köln, 1976",,,,,,,,,,,,,,,,,
365354,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 01,K 010,,Skulptur,Frauenfigur von Mauern (androgyne Figur),Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Deutschland,,,,,,,,,,Sattelbraun,6.6cm,3.8cm,3.75cm,,,123g,,,Herstellungsdatum,-30000,-15000,,,,,,,,"Es handelt sich um eine Nachbildung. Standort des Originals: Prähistorische Staatssammlung München. Material des Originals: Kalkstein. Nur der Rumpf und besonders die Gesäßpartie sind ausgeformt, nicht dargestellt werden Kopf, Arme, Brüste und Füße. Die Beinpartien sind zu einem kurzen, spitz nach unten auslaufenden Keil zusammengefaßt. ""Die Rote von Mauern"" war in rot verfärbtem Erdreich eingebettet. Sie besteht zur Hälfte aus einem überbetonten, offentsichtlich weiblich gedachten Gesäß mit einem rundlichen Zapfen anstelle der Beine und oberhalb der eingeschnürten Hüfte aus einer massiven, abgerundeten Säule, die durch eine Delle an der Kuppe nachdrücklich als Phallus markiert wird"" (Idole...1985: 145). ""... Obwohl sie inhaltlich ein androgynes Zwittergebilde darstellt, nämlich die Verbindung eines weiblichen Unterkörpers mit einem Phallus als zugehörigem Oberkörper"" ist sie formal eine hochstilisierte Frauenfigur (Idole... 1985: 141).",,"Veröffentlicht in: Idole 1985: 162, Farbtafel 42 Müller-Beck, H. u. G. Albrecht (1987) Die Anfänge der Kunst vor 30000 Jahren. Stuttgart, Kat. 40 (Abb.); Beschrieben in: Idole. Frühe Götterbilder und Opfergaben (Prähistorische Staatssammlung, München, Museum für Vor- und Frühgeschichte), Mainz 1985 Zotz, L. (1955) Das Paläolithikum in den Weinberghöhlen bei Mauern. Bonn: Röhrscheid, S. 85 ff. Müller-Beck, H. u. G. Albrecht (1987) Die Anfänge der Kunst vor 30.000 Jahren. Stuttgart, Kat. 40",,"Erwerb und Jahr: über Herrn Zotz (Uni Erlangen) aus der Prähistorischen Staatssammlung, München 1966",,,,,,,,,,,,,,,,,
365355,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 01,K 011,,Skulptur,Venus von Willendorf,Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Österreich,,,,,,,,,Ton,Weiß,10.9cm,5.85cm,4.5cm,,,238g,,,Herstellungsdatum,-30000,,,,,,,,,"Es handelt sich um eine Nachbildung. Standort des Originals: Nat. Hist. Mus. Wien, Original gefunden 1908. Material des Originals: Stein. Das anonyme Gesicht der stehenden Figur ist leicht nach vorn gestreckt und durch ""gewellte Querrillen in einer Weise gemustert, als ob eine Verhüllung des Gesichtes dargestellt worden sei"" (Duerr 1978: 32). Die Oberarme sind seitlich angelegt, die Unterarme liegen auf den großen Brüsten, das Gesäß ist übermäßig breit dargestellt, Füße fehlen. Fast kreisförmige Anordnung der Brüste, des Bauches und der Schampartie. Der Rest des Körpers, Brust und Kopf auf der einen, Schenkel und Beine auf der anderen Seite, verjüngt sich oberhalb und unterhalb dieses Kreises.",,"Veröffentlicht in: Duerr 1978: 33, Abb. 4 (Original) Müller-Beck, H. u. G. Albrecht (Hg.) (1987) Die Anfänge der Kunst vor 30.000 Jahren. Stuttgart, Tafel 11, Kat. 78; Beschrieben in: Duerr, H. P. (1978) Traumzeit: über die Grenze zwischen Wildnis und Zivilisation. Frankfurt: Syndikat. Müller-Beck, H. u. G. Albrecht (Hg.) (1987) Die Anfänge der Kunst vor 30.000 Jahren. Stuttgart, Kat. 78",,"Artikel 'Pin-up aus dem Paläolithikum' liegt der Karteikarte bei. Erwerb und Jahr: Dr. Kromer, Leiter der Prähistorischen Abtg. des Naturhis. Museums Wien im Februar 1967 Vgl. Korrespondenz mit Dr. Karl Kromer",,,,,,,,,,,,,,,,,
365356,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 03,K 012,,Skulptur,Frauenfigur,Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Italien,,,,,,,,,Gips,Sandiges Braun,12.4cm,5.5cm,3.5cm,,,132g,,,Herstellungsdatum,-2000,,,,,,,,,"Es handelt sich um eine Nachbildung. Standort des Originals: Privatsammlung Kirchhoff (Ki 33 (Original nicht in Sammlung; 09.1997)). Grabbeigabe. Der säulenförmige Körper der Frauenfigur hat einen ovalen Querschnitt und erweitert sich nach unten in einem Standfuß. Der Kopf mit modellierten Augen, Nase und Mund sowie mit flachem Hinterkopf ist ca. 30 Grad nach links gedreht. Rechts und links der großen Brüste steht jeweils ein Stummel vom Körper ab, der einen Arm andeuten soll.",,,,"vgl. Literatur von dy Ry (?) handschriftliche Anmerkung auf Karteikarte, nicht überprüft, nicht recherchiert",,,,,,,,,,,,,,,,,
